(C,16)
(I,15)
(I,14)
(I,13)
(I,12)
(I,11)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(P,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
