Não	(C,12)
é	(I,11)
pelo	(I,10)
crescimento	(I,9)
económico	(I,8)
que	(I,7)
se	(I,6)
vai	(I,5)
reduzir	(I,4)
o	(I,3)
défice	(I,2)
.	(O,|)
O	(P,0)
crescimento	(I,0)
previsto	(I,0)
no	(I,0)
Programa	(I,0)
de	(I,0)
Estabilidade	(I,0)
e	(I,0)
Crescimento	(I,0)
2015-2019	(I,0)
,	(I,0)
apresentado	(I,0)
em	(I,0)
Abril	(I,0)
do	(I,0)
ano	(I,0)
passado	(I,0)
pelo	(I,0)
governo	(I,0)
PSD/CDS	(I,0)
,	(I,0)
era	(I,0)
de	(I,0)
2,0%	(I,0)
.	(O,|)
O	(I,0)
Governo	(I,0)
do	(I,0)
PS	(I,0)
prevê	(I,0)
agora	(I,0)
2,1%	(I,0)
.	(O,|)
Com	(O,|)
uma	(O,|)
taxa	(O,|)
de	(O,|)
crescimento	(O,|)
semelhante	(O,|)
,	(O,|)
o	(O,|)
caminho	(O,|)
é	(O,|)
o	(O,|)
clássico	(O,|)
aumento	(P,0)
de	(I,0)
impostos+corte	(I,0)
na	(I,0)
despesa	(I,0)
de	(I,0)
funcionamento	(I,0)
.	(O,|)
Alguma	(O,|)
coisa	(O,|)
de	(O,|)
novo	(O,|)
?	(O,|)
