Vários	(I,claim,15)
sites	(I,claim,14)
de	(I,claim,13)
informação	(I,claim,12)
estão	(I,claim,11)
inacessíveis	(I,claim,10)
devido	(O,|,|)
,	(O,|,|)
segundo	(O,|,|)
dados	(O,|,|)
do	(O,|,|)
grupo	(O,|,|)
Cofina	(O,|,|)
,	(O,|,|)
a	(O,|,|)
graves	(I,premise,0)
problemas	(I,premise,0)
técnicos	(I,premise,0)
na	(I,premise,0)
infraestrutura	(I,premise,0)
tecnológica	(I,premise,0)
da	(I,premise,0)
Portugal	(I,premise,0)
Telecom	(I,premise,0)
,	(O,|,|)
uma	(O,|,|)
situação	(O,|,|)
que	(O,|,|)
se	(O,|,|)
regista	(O,|,|)
desde	(O,|,|)
sexta-feira	(O,|,|)
.	(O,|,|)
