Quatro	(C,46)
homens	(I,45)
desapareceram	(I,44)
hoje	(I,43)
quando	(I,42)
desciam	(I,41)
de	(I,40)
canoa	(I,39)
o	(I,38)
rio	(I,37)
Tâmega	(I,36)
,	(I,35)
na	(I,34)
zona	(I,33)
de	(I,32)
Mondim	(I,31)
de	(I,30)
Basto	(I,29)
.	(O,|)
De	(O,|)
acordo	(O,|)
com	(O,|)
o	(O,|)
Jornal	(O,|)
de	(O,|)
Notícias	(O,|)
,	(O,|)
os	(O,|)
canoístas	(P,80)
passaram	(I,79)
a	(I,78)
zona	(I,77)
do	(I,76)
rio	(I,75)
onde	(I,74)
deveriam	(I,73)
sair	(I,72)
e	(I,71)
acabaram	(I,70)
por	(I,69)
ser	(I,68)
encontrados	(I,67)
quase	(I,66)
em	(I,65)
Amarante	(I,64)
.	(O,|)
Os	(P,0)
homens	(I,0)
,	(I,0)
de	(I,0)
nacionalidade	(I,0)
francesa	(I,0)
,	(I,0)
estavam	(I,0)
a	(I,0)
descer	(I,0)
o	(I,0)
rio	(I,0)
num	(I,0)
evento	(I,0)
desportivo	(I,0)
desde	(I,0)
a	(I,0)
Ponte	(I,0)
de	(I,0)
Atei	(I,0)
até	(I,0)
à	(I,0)
zona	(I,0)
de	(I,0)
Pedra	(I,0)
Velha	(I,0)
,	(I,0)
mas	(I,0)
falharam	(I,0)
um	(I,0)
dos	(I,0)
pontos	(I,0)
de	(I,0)
controlo	(I,0)
,	(O,|)
tendo	(O,|)
o	(O,|)
alerta	(O,|)
sido	(O,|)
dado	(O,|)
pelas	(O,|)
19:00	(O,|)
,	(O,|)
revelou	(O,|)
fonte	(O,|)
do	(O,|)
Comando	(O,|)
Distrital	(O,|)
de	(O,|)
Operações	(O,|)
e	(O,|)
Socorro	(O,|)
CDOS	(O,|)
de	(O,|)
Vila	(O,|)
Real	(O,|)
,	(O,|)
na	(O,|)
região	(O,|)
Norte	(O,|)
.	(O,|)
Os	(O,|)
quatro	(C,0)
homens	(I,0)
acabaram	(I,0)
por	(I,0)
ser	(I,0)
encontrados	(I,0)
ao	(I,0)
início	(I,0)
da	(I,0)
noite	(I,0)
em	(I,0)
Lourido	(I,0)
,	(I,0)
perto	(I,0)
da	(I,0)
Ponte	(I,0)
de	(I,0)
Arame	(I,0)
,	(O,|)
pelos	(O,|)
Bombeiros	(O,|)
de	(O,|)
Celorico	(O,|)
de	(O,|)
Basto	(O,|)
que	(O,|)
participavam	(O,|)
nas	(O,|)
buscas	(O,|)
que	(O,|)
entretanto	(O,|)
tinham	(O,|)
sido	(O,|)
desencadeadas	(O,|)
com	(O,|)
a	(O,|)
GNR	(O,|)
.	(O,|)
