Dias	(C,308)
20	(I,307)
e	(I,306)
21	(I,305)
de	(I,304)
Maio	(I,303)
,	(I,302)
a	(I,301)
Nersant	(I,300)
-	(I,299)
Associação	(I,298)
Empresarial	(I,297)
da	(I,296)
Região	(I,295)
de	(I,294)
Santarém	(I,293)
celebra	(I,292)
a	(I,291)
Inovação	(I,290)
e	(I,289)
o	(I,288)
Empreendedorismo	(I,287)
,	(I,286)
com	(I,285)
a	(I,284)
realização	(I,283)
de	(I,282)
um	(I,281)
evento	(I,280)
no	(I,279)
Convento	(I,278)
de	(I,277)
S	(I,276)
.	(I,275)
Francisco	(I,274)
,	(I,273)
em	(I,272)
Santarém	(I,271)
.	(O,|)
No	(O,|)
dia	(O,|)
20	(O,|)
de	(O,|)
Maio	(O,|)
,	(O,|)
Dia	(O,|)
do	(O,|)
Empreendedorismo	(O,|)
,	(O,|)
tem	(O,|)
lugar	(O,|)
pela	(O,|)
manhã	(O,|)
um	(O,|)
conjunto	(O,|)
de	(O,|)
sessões	(O,|)
,	(O,|)
entre	(O,|)
as	(O,|)
quais	(O,|)
um	(O,|)
Atelier	(O,|)
de	(O,|)
Ideias	(O,|)
,	(O,|)
que	(O,|)
se	(O,|)
realiza	(O,|)
pelas	(O,|)
10h00	(O,|)
e	(O,|)
onde	(O,|)
serão	(O,|)
apresentadas	(O,|)
novas	(O,|)
tendências	(O,|)
de	(O,|)
negócios	(O,|)
,	(O,|)
e	(O,|)
um	(O,|)
Mercado	(O,|)
de	(O,|)
Financiamento	(O,|)
,	(O,|)
onde	(O,|)
serão	(O,|)
divulgados	(O,|)
a	(O,|)
um	(O,|)
painel	(O,|)
de	(O,|)
potenciais	(O,|)
financiadores	(O,|)
três	(O,|)
projectos	(O,|)
nascidos	(O,|)
com	(O,|)
o	(O,|)
apoio	(O,|)
do	(O,|)
programa	(O,|)
de	(O,|)
capacitação	(O,|)
da	(O,|)
Nersant	(O,|)
,	(O,|)
Sítio	(O,|)
do	(O,|)
Empreendedor	(O,|)
.	(O,|)
A	(O,|)
partir	(O,|)
da	(O,|)
tarde	(O,|)
é	(O,|)
dedicada	(O,|)
ao	(O,|)
networking	(O,|)
.	(O,|)
Terão	(O,|)
lugar	(O,|)
duas	(O,|)
reuniões	(O,|)
,	(O,|)
uma	(O,|)
entre	(O,|)
os	(O,|)
membros	(O,|)
da	(O,|)
Rede	(O,|)
Regional	(O,|)
de	(O,|)
Apoio	(O,|)
do	(O,|)
Empreendedorismo	(O,|)
do	(O,|)
Sítio	(O,|)
do	(O,|)
Empreendedor	(O,|)
e	(O,|)
outra	(O,|)
entre	(O,|)
os	(O,|)
novos	(O,|)
empresários	(O,|)
e	(O,|)
os	(O,|)
empresários	(O,|)
já	(O,|)
experientes	(O,|)
que	(O,|)
fazem	(O,|)
parte	(O,|)
da	(O,|)
Bolsa	(O,|)
de	(O,|)
Mentores	(O,|)
da	(O,|)
Nersant	(O,|)
.	(O,|)
O	(O,|)
dia	(O,|)
terminará	(O,|)
com	(O,|)
a	(O,|)
sessão	(O,|)
de	(O,|)
encerramento	(O,|)
do	(O,|)
Sítio	(O,|)
do	(O,|)
Empreendedor	(O,|)
,	(O,|)
na	(O,|)
qual	(O,|)
serão	(O,|)
entregues	(O,|)
os	(O,|)
