A	(C,8)
narrativa	(I,7)
orçamental	(I,6)
do	(I,5)
governo	(I,4)
não	(I,3)
pegou	(I,2)
.	(O,|)
Pouca	(P,0)
gente	(I,0)
parece	(I,0)
disposta	(I,0)
à	(I,0)
suspensão	(I,0)
da	(I,0)
descrença	(I,0)
que	(O,|)
,	(O,|)
segundo	(O,|)
Coleridge	(O,|)
,	(O,|)
é	(O,|)
necessária	(O,|)
a	(O,|)
qualquer	(O,|)
ficção	(O,|)
.	(O,|)
Mário	(C,17)
Centeno	(I,16)
devia	(I,15)
ter	(I,14)
lido	(I,13)
menos	(I,12)
J	(I,11)
.M	(I,10)
.	(I,9)
Keynes	(I,8)
e	(I,7)
mais	(I,6)
H	(I,5)
.P	(I,4)
.	(I,3)
Lovecraft	(I,2)
.	(O,|)
Algures	(P,0)
,	(I,0)
Lovecraft	(I,0)
explica	(I,0)
que	(I,0)
no	(I,0)
género	(I,0)
fantástico	(I,0)
é	(I,0)
um	(I,0)
erro	(I,0)
exagerar	(I,0)
na	(I,0)
fantasia	(I,0)
.	(O,|)
No	(O,|)
caso	(O,|)
do	(O,|)
Esboço	(O,|)
do	(O,|)
Orçamento	(O,|)
de	(O,|)
Estado	(O,|)
para	(O,|)
2016	(O,|)
,	(O,|)
o	(O,|)
governo	(O,|)
exagerou	(O,|)
.	(O,|)
Os	(P,0)
leitores	(I,0)
reagiram	(I,0)
:	(I,0)
a	(I,0)
Comissão	(I,0)
Europeia	(I,0)
,	(I,0)
o	(I,0)
Conselho	(I,0)
de	(I,0)
Finanças	(I,0)
Públicas	(I,0)
,	(I,0)
a	(I,0)
Unidade	(I,0)
Técnica	(I,0)
de	(I,0)
Apoio	(I,0)
da	(I,0)
Assembleia	(I,0)
da	(I,0)
República	(I,0)
,	(I,0)
as	(I,0)
agências	(I,0)
de	(I,0)
notação	(I,0)
,	(I,0)
a	(I,0)
imprensa	(I,0)
nacional	(I,0)
e	(I,0)
internacional	(I,0)
–	(I,0)
começam	(I,0)
a	(I,0)
ser	(I,0)
demasiados	(I,0)
os	(I,0)
que	(I,0)
não	(I,0)
acreditam	(I,0)
na	(I,0)
ficção	(I,0)
governativa	(I,0)
de	(I,0)
que	(I,0)
gastar	(I,0)
mais	(I,0)
é	(I,0)
a	(I,0)
via	(I,0)
para	(I,0)
equilibrar	(I,0)
as	(I,0)
contas	(I,0)
.	(O,|)
