Qualquer	(P,38)
pessoa	(I,37)
educada	(I,36)
pela	(I,35)
televisão	(I,34)
e	(I,33)
pelo	(I,32)
cinema	(I,31)
sabe	(I,30)
que	(I,29)
para	(I,28)
se	(I,27)
poder	(I,26)
concluir	(I,25)
que	(I,24)
alguém	(I,23)
cometeu	(I,22)
um	(I,21)
crime	(I,20)
é	(I,19)
preciso	(I,18)
determinar	(I,17)
se	(I,16)
teve	(I,15)
os	(I,14)
meios	(I,13)
,	(I,12)
os	(I,11)
motivos	(I,10)
,	(I,9)
e	(I,8)
ainda	(I,7)
a	(I,6)
oportunidade	(I,5)
para	(I,4)
o	(I,3)
fazer	(I,2)
.	(O,|)
A	(C,0)
mera	(I,0)
intenção	(I,0)
de	(I,0)
cometer	(I,0)
um	(I,0)
crime	(I,0)
não	(I,0)
conta	(I,0)
como	(I,0)
crime	(I,0)
.	(O,|)
A	(O,|)
vida	(O,|)
,	(O,|)
sem	(O,|)
falar	(O,|)
na	(O,|)
ficção	(O,|)
e	(O,|)
no	(O,|)
direito	(O,|)
,	(O,|)
seriam	(O,|)
diferentes	(O,|)
se	(O,|)
tal	(O,|)
fosse	(O,|)
o	(O,|)
caso	(O,|)
.	(O,|)
Sendo	(O,|)
as	(O,|)
coisas	(O,|)
como	(O,|)
são	(O,|)
,	(O,|)
as	(O,|)
intenções	(O,|)
suspeitas	(O,|)
requerem	(O,|)
acções	(O,|)
,	(O,|)
as	(O,|)
quais	(O,|)
serão	(O,|)
regra	(O,|)
geral	(O,|)
más	(O,|)
acções	(O,|)
.	(O,|)
