O	(B,claim,0)
anunciado	(I,claim,0)
tempo	(I,claim,0)
novo	(I,claim,0)
não	(I,claim,0)
chega	(I,claim,0)
a	(I,claim,0)
todos	(I,claim,0)
da	(I,claim,0)
mesma	(I,claim,0)
maneira	(I,claim,0)
nem	(I,claim,0)
com	(I,claim,0)
a	(I,claim,0)
mesma	(I,claim,0)
urgência	(I,claim,0)
,	(O,|,|)
como	(O,|,|)
se	(O,|,|)
vê	(O,|,|)
.	(O,|,|)
Porque	(O,|,|)
não	(B,premise,93)
há	(I,premise,92)
dinheiro	(I,premise,91)
,	(I,premise,90)
como	(I,premise,89)
agora	(I,premise,88)
se	(I,premise,87)
percebe	(I,premise,86)
.	(O,|,|)
Porque	(O,|,|)
a	(B,premise,83)
austeridade	(I,premise,82)
e	(I,premise,81)
uma	(I,premise,80)
necessidade	(I,premise,79)
e	(I,premise,78)
não	(I,premise,77)
uma	(I,premise,76)
opção	(I,premise,75)
.	(O,|,|)
E	(O,|,|)
porque	(O,|,|)
há	(B,premise,71)
a	(I,premise,70)
clara	(I,premise,69)
noção	(I,premise,68)
de	(I,premise,67)
que	(I,premise,66)
o	(I,premise,65)
país	(I,premise,64)
volta	(I,premise,63)
a	(I,premise,62)
estar	(I,premise,61)
sob	(I,premise,60)
apertada	(I,premise,59)
vigilância	(I,premise,58)
internacional	(I,premise,57)
dos	(I,premise,56)
credores	(I,premise,55)
e	(I,premise,54)
das	(I,premise,53)
agências	(I,premise,52)
de	(I,premise,51)
rating	(I,premise,50)
.	(O,|,|)
E	(O,|,|)
,	(O,|,|)
gostemos	(O,|,|)
disso	(O,|,|)
ou	(O,|,|)
não	(O,|,|)
,	(O,|,|)
continuamos	(O,|,|)
a	(O,|,|)
precisar	(O,|,|)
deles	(O,|,|)
para	(O,|,|)
financiar	(O,|,|)
o	(O,|,|)
Estado	(O,|,|)
e	(O,|,|)
a	(O,|,|)
economia	(O,|,|)
.	(O,|,|)
Entre	(O,|,|)
o	(O,|,|)
cumprimento	(O,|,|)
irresponsável	(O,|,|)
de	(O,|,|)
promessas	(O,|,|)
eleitorais	(O,|,|)
e	(O,|,|)
a	(O,|,|)
quebra	(O,|,|)
da	(O,|,|)
palavra	(O,|,|)
dada	(O,|,|)
,	(O,|,|)
ainda	(O,|,|)
assim	(O,|,|)
é	(O,|,|)
preferível	(O,|,|)
esta	(O,|,|)
última	(O,|,|)
.	(O,|,|)
Aparentemente	(O,|,|)
,	(O,|,|)
este	(O,|,|)
governo	(O,|,|)
pensa	(O,|,|)
da	(O,|,|)
mesma	(O,|,|)
maneira	(O,|,|)
.	(O,|,|)
