Há	(C,7)
os	(I,6)
coitadinhos	(I,5)
e	(I,4)
os	(I,3)
outros	(I,2)
.	(O,|)
Uns	(P,0)
e	(I,0)
outros	(I,0)
têm	(I,0)
aleijões	(I,0)
no	(I,0)
corpo	(I,0)
,	(I,0)
por	(I,0)
vezes	(I,0)
profundos	(I,0)
,	(I,0)
incuráveis	(I,0)
,	(I,0)
mortais	(I,0)
.	(O,|)
Mas	(O,|)
uns	(O,|)
,	(O,|)
os	(O,|)
coitadinhos	(O,|)
,	(O,|)
vivem	(O,|)
da	(O,|)
comiseração	(O,|)
dos	(O,|)
familiares	(O,|)
e	(O,|)
dos	(O,|)
amigos	(O,|)
,	(O,|)
da	(O,|)
compaixão	(O,|)
pública	(O,|)
.	(O,|)
Entregaram-se	(O,|)
à	(O,|)
desgraça	(O,|)
e	(O,|)
fizeram	(O,|)
dela	(O,|)
a	(O,|)
sua	(O,|)
filosofia	(O,|)
de	(O,|)
vida	(O,|)
.	(O,|)
Os	(O,|)
outros	(O,|)
,	(O,|)
não	(O,|)
.	(O,|)
