Dispensámos	(C,6)
um	(I,5)
programa	(I,4)
cautelar	(I,3)
formal	(I,2)
,	(O,|)
porque	(P,0)
nos	(I,0)
conseguíamos	(I,0)
financiar	(I,0)
no	(I,0)
mercado	(I,0)
a	(I,0)
taxas	(I,0)
de	(I,0)
juro	(I,0)
baixas	(I,0)
.	(O,|)
Mas	(O,|)
a	(O,|)
verdade	(O,|)
é	(O,|)
que	(O,|)
as	(C,13)
taxas	(I,12)
de	(I,11)
juro	(I,10)
não	(I,9)
reflectem	(I,8)
as	(I,7)
condições	(I,6)
reais	(I,5)
da	(I,4)
nossa	(I,3)
economia	(I,2)
.	(O,|)
O	(P,23)
programa	(I,22)
de	(I,21)
compra	(I,20)
de	(I,19)
dívida	(I,18)
do	(I,17)
Banco	(I,16)
Central	(I,15)
Europeu	(I,14)
BCE	(I,13)
,	(I,12)
quantitative	(I,11)
easing	(I,10)
,	(I,9)
distorce	(I,8)
de	(I,7)
tal	(I,6)
forma	(I,5)
o	(I,4)
seu	(I,3)
funcionamento	(I,2)
que	(O,|)
é	(P,0)
um	(I,0)
contra-senso	(I,0)
falar	(I,0)
em	(I,0)
taxas	(I,0)
de	(I,0)
juro	(I,0)
de	(I,0)
mercado	(I,0)
.	(O,|)
O	(O,|)
quantitative	(O,|)
easing	(O,|)
garante-nos	(O,|)
que	(O,|)
,	(O,|)
desde	(O,|)
que	(O,|)
não	(O,|)
rebentemos	(O,|)
com	(O,|)
os	(O,|)
plafonds	(O,|)
de	(O,|)
compra	(O,|)
de	(O,|)
dívida	(O,|)
pública	(O,|)
do	(O,|)
BCE	(O,|)
,	(O,|)
e	(O,|)
enquanto	(O,|)
o	(O,|)
rating	(O,|)
da	(O,|)
nossa	(O,|)
dívida	(O,|)
não	(O,|)
piorar	(O,|)
ainda	(O,|)
mais	(O,|)
,	(O,|)
as	(O,|)
nossas	(O,|)
taxas	(O,|)
de	(O,|)
juro	(O,|)
manter-se-ão	(O,|)
baixas	(O,|)
.	(O,|)
Tal	(O,|)
qual	(O,|)
um	(O,|)
programa	(O,|)
cautelar	(O,|)
,	(O,|)
temos	(O,|)
uma	(O,|)
instituição	(O,|)
europeia	(O,|)
a	(O,|)
garantir	(O,|)
que	(O,|)
não	(O,|)
estamos	(O,|)
sujeitos	(O,|)
aos	(O,|)
humores	(O,|)
dos	(O,|)
mercados	(O,|)
.	(O,|)
