Rebelo	(C,10)
de	(I,9)
Sousa	(I,8)
poderia	(I,7)
ter	(I,6)
feito	(I,5)
uma	(I,4)
campanha	(I,3)
diferente	(I,2)
.	(I,1)
Poderia	(P,0)
ter	(I,0)
decidido	(I,0)
defender	(I,0)
o	(I,0)
semi-presidencialismo	(I,0)
contra	(I,0)
a	(I,0)
irrelevância	(I,0)
a	(I,0)
que	(I,0)
foi	(I,0)
condenado	(I,0)
pela	(I,0)
crise	(I,0)
europeia	(I,0)
.	(I,0)
Mas	(O,|)
não	(O,|)
seria	(O,|)
uma	(O,|)
campanha	(O,|)
fácil	(O,|)
.	(O,|)
Teria	(P,0)
que	(I,0)
ter	(I,0)
dito	(I,0)
que	(I,0)
só	(I,0)
depois	(I,0)
de	(I,0)
conhecer	(I,0)
o	(I,0)
orçamento	(I,0)
e	(I,0)
que	(I,0)
poderia	(I,0)
saber	(I,0)
se	(I,0)
o	(I,0)
vetaria	(I,0)
ou	(I,0)
se	(I,0)
o	(I,0)
aprovaria	(I,0)
.	(I,0)
Poderia	(P,0)
dizer	(I,0)
que	(I,0)
iria	(I,0)
fiscalizar	(I,0)
com	(I,0)
rigor	(I,0)
o	(I,0)
acordo	(I,0)
sólido	(I,0)
,	(I,0)
duradouro	(I,0)
e	(I,0)
sustentável	(I,0)
entre	(I,0)
o	(I,0)
PS	(I,0)
,	(I,0)
o	(I,0)
BE	(I,0)
e	(I,0)
o	(I,0)
PCP	(I,0)
,	(I,0)
em	(I,0)
vez	(I,0)
de	(I,0)
apoiar	(I,0)
incondicionalmente	(I,0)
o	(I,0)
governo	(I,0)
de	(I,0)
Costa	(I,0)
.	(I,0)
