Se	(P,10)
Portugal	(I,9)
fosse	(I,8)
um	(I,7)
pais	(I,6)
racional	(I,5)
e	(I,4)
coerente	(I,3)
politicamente	(I,2)
,	(I,1)
haveria	(C,0)
uma	(I,0)
revisão	(I,0)
constitucional	(I,0)
para	(I,0)
consagrar	(I,0)
o	(I,0)
parlamentarismo	(I,0)
e	(I,0)
introduzir	(I,0)
a	(I,0)
eleição	(I,0)
presidencial	(I,0)
no	(I,0)
Parlamento	(I,0)
.	(O,|)
Mas	(C,33)
isso	(I,32)
não	(I,31)
ira	(I,30)
acontecer	(I,29)
.	(O,|)
Para	(O,|)
a	(O,|)
esquerda	(O,|)
,	(O,|)
a	(O,|)
Constituição	(O,|)
e	(O,|)
um	(O,|)
texto	(O,|)
sagrado	(O,|)
uma	(O,|)
espécie	(O,|)
de	(O,|)
Bíblia	(O,|)
da	(O,|)
democracia	(O,|)
nacional	(O,|)
e	(O,|)
nos	(O,|)
textos	(O,|)
de	(O,|)
natureza	(O,|)
religiosa	(O,|)
não	(O,|)
se	(O,|)
toca	(O,|)
.	(O,|)
Ora	(P,0)
,	(I,0)
sem	(I,0)
a	(I,0)
esquerda	(I,0)
,	(I,0)
não	(I,0)
há	(I,0)
revisão	(I,0)
constitucional	(I,0)
.	(O,|)
