Nunca	(C,15)
será	(I,14)
demais	(I,13)
repetir	(I,12)
que	(I,11)
este	(I,10)
é	(I,9)
um	(I,8)
problema	(I,7)
criado	(I,6)
fundamentalmente	(I,5)
pelo	(I,4)
próprio	(I,3)
Ocidente	(I,2)
.	(O,|)
Foi	(P,0)
a	(I,0)
mistura	(I,0)
ocidental	(I,0)
de	(I,0)
incitação	(I,0)
e	(I,0)
de	(I,0)
inércia	(I,0)
que	(I,0)
arrastou	(I,0)
a	(I,0)
guerra	(I,0)
na	(I,0)
Síria	(I,0)
e	(I,0)
encheu	(I,0)
a	(I,0)
Turquia	(I,0)
e	(I,0)
o	(I,0)
Líbano	(I,0)
de	(I,0)
milhões	(I,0)
de	(I,0)
deslocados	(I,0)
.	(O,|)
E	(P,0)
foi	(I,0)
o	(I,0)
bizarro	(I,0)
anúncio	(I,0)
da	(I,0)
chanceler	(I,0)
alemã	(I,0)
Angela	(I,0)
Merkel	(I,0)
de	(I,0)
que	(I,0)
todos	(I,0)
seriam	(I,0)
bem-vindos	(I,0)
,	(I,0)
no	(I,0)
Verão	(I,0)
passado	(I,0)
,	(I,0)
que	(I,0)
pôs	(I,0)
esses	(I,0)
milhões	(I,0)
e	(I,0)
muitos	(I,0)
outros	(I,0)
em	(I,0)
marcha	(I,0)
para	(I,0)
o	(I,0)
norte	(I,0)
da	(I,0)
Europa	(I,0)
.	(O,|)
A	(O,|)
percepção	(O,|)
de	(O,|)
que	(O,|)
as	(O,|)
portas	(O,|)
estavam	(O,|)
abertas	(O,|)
,	(O,|)
mas	(O,|)
que	(O,|)
não	(O,|)
estariam	(O,|)
abertas	(O,|)
durante	(O,|)
muito	(O,|)
tempo	(O,|)
,	(O,|)
fez	(O,|)
muita	(O,|)
gente	(O,|)
tentar	(O,|)
a	(O,|)
sorte	(O,|)
.	(O,|)
As	(O,|)
redes	(O,|)
de	(O,|)
tráfico	(O,|)
humano	(O,|)
aproveitaram	(O,|)
.	(O,|)
