os	(I,premise,20)
dados	(I,premise,19)
que	(I,premise,18)
estão	(I,premise,17)
no	(I,premise,16)
documento	(I,premise,15)
são	(I,premise,14)
ainda	(I,premise,13)
escassos	(I,premise,12)
mas	(I,premise,11)
a	(I,premise,10)
partir	(I,premise,9)
deles	(I,premise,8)
é	(I,premise,7)
possível	(I,premise,6)
tirar	(I,premise,5)
já	(I,premise,4)
algumas	(I,premise,3)
conclusões	(I,premise,2)
sobre	(O,|,|)
o	(I,claim,0)
caminho	(I,claim,0)
orçamental	(I,claim,0)
que	(I,claim,0)
este	(I,claim,0)
governo	(I,claim,0)
começa	(I,claim,0)
a	(I,claim,0)
percorrer	(I,claim,0)
.	(O,|,|)
