(C,30)
(I,29)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
